Age,BodyFat,Height,Weight,Chest,Abdomen,Hip,Thigh,Biceps,Ankle,Knee,Neck,Wrist,Class
22.0,23.07,161.3,49.4,76.1,62.8,90.2,49.2,25.0,19.7,33.0,28.8,15.0,0
22.0,29.5,157.5,60.8,87.3,68.0,94.0,50.0,26.8,22.0,34.6,31.2,15.8,1
21.0,26.99,161.8,63.1,83.7,71.0,94.0,51.0,27.8,20.1,35.0,30.8,14.4,1
20.0,20.25,168.1,53.1,78.0,63.5,90.5,48.0,23.8,20.0,35.0,30.0,14.5,0
20.0,19.95,173.2,59.4,84.2,65.0,93.2,50.0,24.2,21.0,33.0,32.5,14.8,0
24.0,26.02,161.3,68.0,97.0,76.8,105.0,54.5,29.8,22.5,39.0,34.0,17.4,1
21.0,27.57,178.3,76.2,100.0,81.0,101.0,56.0,28.0,22.8,39.0,34.0,17.0,1
21.0,18.36,171.4,56.2,81.0,65.0,90.0,49.0,23.0,21.5,33.5,32.5,15.0,0
20.0,15.04,166.9,54.9,82.5,67.2,89.2,49.5,24.0,21.0,35.5,30.3,15.4,0
19.0,26.46,168.9,73.0,94.5,80.0,106.0,61.0,28.5,21.0,39.5,34.0,16.5,1
20.0,22.33,174.0,71.7,92.0,74.0,103.0,58.5,28.5,22.5,37.5,34.0,17.0,0
24.0,20.75,179.1,67.6,90.8,70.0,100.4,45.2,26.5,21.0,37.5,33.0,15.5,0
18.0,14.93,160.0,54.0,86.0,66.4,92.3,48.5,24.5,20.0,35.0,30.5,15.6,0
19.0,17.57,163.8,51.7,81.2,64.5,89.1,50.6,23.5,21.0,34.5,30.5,14.5,0
21.0,20.3,160.0,52.6,84.5,66.0,94.0,47.0,26.5,21.0,32.6,30.6,14.5,0
19.0,19.4,162.6,61.7,89.5,72.0,95.5,52.5,28.0,22.0,37.0,33.0,16.5,0
21.0,22.78,168.7,64.0,98.5,73.0,97.5,49.0,28.3,20.0,34.5,33.0,15.5,0
19.0,24.3,165.1,62.6,86.0,71.0,101.5,52.5,27.0,22.0,39.5,31.5,15.5,1
21.0,13.91,172.7,59.0,88.5,68.5,97.0,49.0,24.0,20.0,33.5,31.5,14.5,0
20.0,13.75,157.5,50.3,83.0,67.2,87.0,47.3,27.0,20.3,33.0,31.3,16.0,0
21.0,21.54,162.6,62.1,88.3,77.0,100.5,53.5,26.0,21.5,34.4,33.0,15.3,0
18.0,18.24,161.3,48.5,82.5,63.2,89.2,44.0,24.3,21.5,34.3,29.5,14.8,0
18.0,24.43,172.7,70.3,90.1,73.0,103.0,58.1,29.5,22.0,39.1,33.0,16.5,1
20.0,13.7,160.0,50.8,80.6,65.5,84.0,48.5,26.0,20.2,34.2,29.8,14.5,0
19.0,20.21,172.7,63.5,84.5,70.0,102.0,51.5,26.0,24.5,37.0,31.0,15.5,0
22.0,17.32,170.2,52.2,76.0,65.2,92.3,46.5,24.0,20.2,34.5,30.5,14.5,0
19.0,22.29,160.0,50.3,82.4,64.5,90.0,48.1,26.3,20.0,34.5,29.5,15.0,0
24.0,21.21,166.4,60.8,86.0,70.1,96.0,52.8,25.5,21.5,37.5,32.0,15.5,0
19.0,25.77,158.8,59.4,83.3,70.3,97.3,53.0,28.2,23.5,37.5,33.0,16.2,1
23.0,20.28,154.2,54.9,88.5,67.2,94.0,49.3,26.0,20.5,35.0,32.4,14.6,0
21.0,19.04,160.8,58.5,83.5,68.5,95.2,54.0,28.0,21.0,34.5,32.5,16.5,0
22.0,26.06,161.8,64.9,89.0,73.2,103.0,54.5,28.7,21.0,37.0,31.5,15.0,1
19.0,23.2,164.8,62.6,86.3,73.2,100.0,53.5,28.0,22.3,37.5,32.0,15.8,0
22.0,14.99,170.2,54.0,85.4,63.0,88.0,49.0,24.3,20.5,34.5,31.0,14.5,0
20.0,27.07,170.2,66.7,85.5,68.0,100.5,57.2,26.5,22.0,36.0,31.5,15.5,1
21.0,24.38,177.8,68.9,91.0,75.5,99.3,51.0,27.0,21.5,37.0,32.0,15.6,1
20.0,19.6,160.0,53.5,82.5,66.5,93.2,47.0,26.8,21.4,35.7,31.0,15.0,0
22.0,20.38,165.1,58.5,83.0,70.3,97.3,53.0,26.0,24.5,36.5,31.0,16.7,0
19.0,23.34,163.3,64.9,85.5,68.3,98.3,55.0,26.5,24.0,39.0,32.3,16.2,0
21.0,21.3,168.9,63.1,82.0,69.5,102.5,52.5,27.0,22.5,38.0,29.8,15.5,0
20.0,27.3,166.4,77.1,95.0,84.3,104.0,57.0,32.0,23.5,37.5,34.0,18.4,1
19.0,18.83,158.8,43.5,73.5,58.0,88.0,48.4,23.0,19.5,33.0,28.0,14.0,0
24.0,26.95,158.8,49.4,83.5,64.5,90.0,46.0,24.0,21.0,33.5,31.0,14.5,1
20.0,25.22,172.7,65.8,85.0,65.3,105.0,58.3,27.3,20.5,38.3,30.5,15.5,1
20.0,20.23,163.8,50.8,84.5,61.5,91.5,48.0,23.5,21.0,36.0,32.5,15.5,0
21.0,32.23,166.4,67.6,86.3,72.3,107.3,57.8,29.7,23.0,39.0,32.0,16.7,1
20.0,23.1,166.9,61.7,88.3,72.0,94.2,52.0,28.2,21.0,34.2,33.5,15.5,0
22.0,22.3,171.4,67.6,94.0,74.0,100.0,56.5,28.0,22.0,36.4,31.0,17.5,0
19.0,17.92,171.4,59.4,83.4,65.0,96.2,49.2,24.5,21.0,34.0,32.0,14.5,0
20.0,17.62,160.0,44.5,79.0,60.2,86.5,43.0,23.2,18.0,32.3,27.1,13.5,0
19.0,25.44,163.8,56.2,83.2,69.3,92.5,50.1,26.5,21.5,33.5,30.0,15.0,1
18.0,30.22,160.0,68.5,91.0,77.2,105.0,55.3,28.3,24.0,39.5,32.5,17.0,1
20.0,15.66,180.3,66.2,87.3,67.0,102.0,52.0,26.5,22.5,36.4,31.5,15.0,0
22.0,20.14,162.6,62.1,90.5,70.3,97.5,55.0,27.0,21.5,35.5,32.5,16.0,0
18.0,24.12,167.6,62.1,90.0,75.0,95.0,51.0,26.8,22.0,36.0,33.5,16.0,1
23.0,23.28,168.9,65.3,90.2,71.2,101.2,55.5,28.0,22.5,37.2,32.5,16.5,0
19.0,30.42,165.1,68.5,89.3,80.1,102.0,58.0,28.2,22.5,38.5,32.5,18.0,1
20.0,27.06,157.5,58.1,87.3,69.2,99.5,53.4,27.0,21.5,35.2,32.0,14.5,1
21.0,24.65,172.7,68.9,87.3,77.5,98.5,52.5,32.1,20.5,37.5,31.8,16.0,1
19.0,24.53,163.8,55.3,86.0,67.5,94.5,55.5,27.0,20.3,33.5,29.0,16.0,1
18.0,24.32,163.8,61.7,87.5,68.0,95.2,49.0,25.8,21.2,35.8,32.0,15.8,1
18.0,22.4,163.3,55.8,82.5,67.6,92.2,48.0,25.5,21.3,35.0,32.6,15.5,0
18.0,28.24,165.1,64.0,88.5,75.0,97.0,50.5,25.5,21.5,35.7,31.0,16.3,1
19.0,25.57,162.6,59.9,84.5,66.2,92.8,52.6,25.5,19.8,36.6,30.0,15.3,1
21.0,19.84,162.6,61.7,83.0,66.4,93.0,50.9,26.0,21.7,34.8,32.2,16.5,0
23.0,35.66,162.6,76.7,91.0,84.5,109.8,59.5,28.8,22.2,36.7,35.0,16.1,1
19.0,22.63,180.3,75.3,90.5,76.0,106.0,57.0,28.0,25.0,38.2,33.0,17.5,0
21.0,14.54,171.4,57.6,85.3,66.0,97.0,49.5,26.0,23.0,34.5,31.5,15.5,0
22.0,19.6,175.3,59.4,83.0,65.0,96.5,54.2,26.0,21.5,36.0,31.0,15.0,0
19.0,20.61,165.1,59.9,87.0,70.2,96.5,50.0,29.5,20.3,34.5,32.5,16.0,0
19.0,31.43,167.6,74.4,96.0,87.0,107.0,56.0,29.5,22.4,39.0,34.0,16.0,1
19.0,22.93,172.7,65.8,86.5,72.0,100.3,53.3,29.0,22.3,35.5,34.5,16.5,0
24.0,13.29,168.9,57.2,85.5,67.3,97.0,53.0,25.5,22.5,33.5,31.5,16.3,0
20.0,22.48,166.9,59.0,86.0,72.5,97.5,51.5,26.3,21.0,34.5,31.8,16.8,0
20.0,24.57,169.2,68.0,88.0,73.5,104.2,51.0,27.0,24.0,37.0,33.5,16.5,1
23.0,24.76,170.2,65.3,88.5,67.5,104.0,53.0,28.2,21.4,36.0,31.0,15.8,1
19.0,18.65,161.3,51.7,81.5,65.0,93.0,49.0,26.5,19.0,34.0,30.0,15.5,0
18.0,22.88,174.0,64.0,89.3,70.0,100.0,52.0,27.0,22.2,38.0,31.0,15.5,0
20.0,22.79,170.2,70.8,92.5,75.0,103.2,58.0,30.5,25.0,38.3,34.5,17.5,0
20.0,23.15,180.3,61.7,83.0,69.2,99.2,50.1,25.0,21.5,36.0,32.5,15.4,0
19.0,28.98,165.1,66.2,94.0,78.2,104.2,55.0,28.5,21.5,38.5,31.5,16.0,1
19.0,25.97,172.7,74.4,91.0,73.5,107.0,59.0,30.5,24.5,39.0,33.0,17.5,1
19.0,22.54,170.2,65.8,89.5,70.0,102.0,55.0,27.0,20.5,36.0,31.5,16.5,0
21.0,19.04,164.3,47.6,80.0,63.0,86.0,47.0,22.5,20.0,34.0,30.5,15.0,0
21.0,20.94,162.6,57.2,85.0,66.0,96.0,52.5,27.0,21.0,34.5,33.0,16.4,0
20.0,15.54,166.9,54.0,86.0,64.0,94.0,49.0,24.5,21.0,34.0,29.5,16.0,0
20.0,15.03,166.9,47.6,80.5,61.5,88.0,46.5,23.3,18.8,33.0,30.5,13.5,0
24.0,24.36,173.5,70.3,91.5,75.2,101.3,54.0,27.5,22.5,38.0,33.0,16.0,1
20.0,34.71,175.3,72.1,91.5,80.0,105.5,54.0,29.5,20.5,39.2,36.0,16.0,1
23.0,16.57,161.3,50.8,80.0,63.5,95.0,46.5,24.0,21.4,33.0,30.5,15.0,0
18.0,21.72,165.1,57.6,81.0,68.0,95.0,52.0,26.0,20.5,36.0,31.0,15.5,0
22.0,18.6,174.5,59.9,84.0,67.5,96.0,48.0,25.0,20.5,36.0,30.0,15.5,0
21.0,13.99,179.1,57.6,84.0,65.0,93.0,50.0,23.3,21.5,33.5,30.0,14.5,0
21.0,26.33,168.9,69.9,89.0,76.0,104.5,55.0,29.5,22.5,39.5,31.0,16.3,1
19.0,16.75,171.4,54.9,84.0,61.0,93.0,47.5,24.3,21.5,35.0,30.0,16.0,0
19.0,20.87,170.2,60.8,86.0,70.0,97.0,54.3,28.0,20.5,35.5,33.5,16.0,0
20.0,14.7,167.6,49.9,78.5,62.3,87.0,48.0,23.5,20.5,33.5,31.0,15.0,0
20.0,19.93,166.4,49.9,83.0,63.0,92.0,48.5,24.0,20.0,34.0,29.5,15.0,0
20.0,20.88,171.4,59.9,82.5,68.0,99.5,53.0,24.0,22.5,36.5,30.0,15.5,0
21.0,18.18,165.1,52.6,81.0,63.5,93.0,48.5,25.5,20.3,33.0,31.0,16.3,0
20.0,25.13,165.1,64.4,89.0,73.0,102.0,56.0,29.0,21.3,36.0,33.0,16.3,1
18.0,33.81,171.4,74.8,84.0,96.0,106.0,52.0,29.5,21.5,39.0,33.0,17.3,1
21.0,26.32,172.7,69.4,91.0,79.0,108.0,54.0,28.0,21.0,34.5,33.0,15.0,1
20.0,30.57,167.6,77.1,89.7,77.0,112.3,61.0,30.0,25.0,41.5,32.2,17.5,1
20.0,16.11,166.4,64.4,84.5,71.0,105.0,52.0,27.5,22.7,38.0,31.7,16.5,0
20.0,32.36,170.9,74.4,93.0,83.5,109.5,54.5,29.0,21.5,38.0,32.5,16.5,1
21.0,22.87,161.3,52.6,79.0,67.0,94.3,53.5,26.0,20.0,33.0,30.0,14.5,0
20.0,16.96,166.4,54.9,75.5,64.0,95.4,51.5,23.5,21.7,35.5,31.2,15.5,0
20.0,17.1,167.6,54.9,84.3,62.5,91.0,51.5,25.0,21.0,34.5,29.5,15.0,0
23.0,19.01,172.7,68.5,91.3,71.3,104.5,54.3,28.7,21.5,35.0,34.0,16.5,0
20.0,14.72,161.3,50.3,80.3,62.7,91.0,49.5,23.0,20.5,33.5,30.0,14.5,0
19.0,25.8,170.2,64.0,91.0,72.0,102.5,50.0,30.0,20.0,36.0,31.5,15.2,1
18.0,17.63,167.6,60.3,86.0,68.0,97.5,55.0,28.3,21.0,35.5,31.5,16.5,0
20.0,18.98,177.8,54.4,82.0,65.5,96.0,46.0,22.8,19.5,33.0,32.0,14.0,0
21.0,12.76,170.2,53.5,79.0,62.0,96.0,48.0,25.3,20.3,34.5,30.5,15.2,0
22.0,20.29,156.2,49.4,81.0,69.2,92.5,46.5,24.0,21.0,34.0,28.5,14.0,0
23.0,25.72,165.1,59.9,84.5,66.0,98.0,54.0,29.0,22.3,37.0,31.5,15.3,1
21.0,20.7,168.9,56.2,84.0,65.0,94.5,49.5,26.3,20.0,33.0,31.5,15.3,0
21.0,24.64,165.1,64.4,91.0,75.0,96.0,54.0,32.0,22.5,36.0,35.0,17.0,1
20.0,16.28,167.6,57.6,85.0,70.0,92.3,48.0,27.0,21.3,35.0,31.5,16.0,0
21.0,15.86,171.4,56.7,85.5,71.0,93.0,49.0,25.0,21.5,24.7,30.5,15.0,0
19.0,17.39,177.0,59.9,87.0,71.0,95.3,47.0,25.5,20.5,35.5,31.5,16.2,0
19.0,10.33,175.3,48.5,76.0,63.0,87.0,38.0,21.0,20.0,34.5,29.0,14.3,0
23.0,17.15,172.7,65.3,87.0,67.0,103.5,56.5,26.5,22.5,37.0,32.8,16.0,0
21.0,26.45,166.4,62.6,90.5,69.0,103.0,54.0,28.3,21.0,35.0,31.0,16.0,1
21.0,26.9,177.8,69.9,92.0,77.0,104.3,49.0,28.0,21.0,37.0,33.0,16.0,1
20.0,22.15,162.6,57.6,87.0,71.0,91.0,48.0,27.0,21.0,34.0,31.0,16.0,0
20.0,31.25,176.5,75.8,90.5,77.0,110.0,57.0,28.5,23.0,41.5,32.5,15.0,1
22.0,15.73,160.0,49.4,83.0,66.0,90.5,46.0,25.0,19.5,31.0,32.0,14.7,0
20.0,26.75,165.1,59.9,84.0,70.0,103.0,47.7,28.0,20.0,35.0,30.3,15.0,1
21.0,15.29,168.4,59.4,84.0,70.0,94.0,50.5,25.5,22.5,36.0,32.5,15.5,0
20.0,15.71,179.6,64.9,82.5,69.0,98.5,51.0,27.0,21.5,38.0,32.5,15.5,0
25.0,36.14,162.6,75.3,94.0,85.0,115.0,60.7,30.0,22.5,42.0,33.0,16.0,1
18.0,23.53,175.3,62.1,84.0,66.5,103.0,52.5,25.5,21.7,37.5,30.3,16.5,0
21.0,13.51,172.7,56.2,76.5,65.0,95.0,50.0,22.0,21.7,34.5,30.5,15.0,0
19.0,36.46,166.4,73.9,81.0,94.0,105.0,56.0,32.5,23.0,39.0,31.5,16.7,1
21.0,10.069999999999999,156.2,49.0,80.0,64.5,92.5,47.0,24.7,20.0,33.0,30.0,14.5,0
21.0,18.75,177.8,64.9,90.1,66.0,94.5,55.0,29.5,21.0,35.5,30.0,15.0,0
21.0,23.11,160.0,56.7,84.5,71.0,93.0,51.5,26.5,21.0,34.3,32.0,15.0,0
18.0,18.27,165.9,58.1,84.5,69.0,97.0,52.5,26.0,23.0,36.0,31.5,16.0,0
20.0,22.39,167.6,59.0,79.0,64.5,103.0,51.0,24.5,23.0,39.0,30.5,15.5,0
21.0,17.56,162.6,56.2,82.0,64.0,94.0,52.5,25.7,20.5,35.0,31.0,15.0,0
20.0,18.13,175.3,58.1,82.5,66.0,94.5,50.0,26.0,20.0,33.5,31.0,15.5,0
22.0,12.08,173.2,54.9,85.0,62.0,88.5,46.6,27.0,20.5,33.0,31.5,15.0,0
22.0,23.06,170.7,76.7,85.5,73.0,98.5,51.5,27.7,21.5,36.5,32.0,16.3,0
22.0,23.2,174.0,58.5,82.0,63.5,98.0,50.5,26.0,21.3,35.3,30.5,15.0,0
22.0,31.87,160.0,65.3,86.0,74.0,105.5,54.0,32.0,22.7,38.5,33.0,17.5,1
21.0,25.02,169.4,48.1,76.0,64.0,93.0,44.0,23.0,20.0,33.5,30.0,14.0,1
19.0,26.64,153.7,64.4,94.0,77.0,99.0,55.5,32.5,22.5,35.0,34.0,17.3,1
19.0,12.88,161.3,42.2,75.0,58.5,84.0,42.5,21.5,19.5,33.0,29.0,14.5,0
20.0,21.2,166.9,49.0,77.5,60.0,90.3,46.0,23.7,20.0,35.5,29.3,13.7,0
20.0,21.24,160.0,53.1,83.2,67.0,91.0,50.7,28.5,20.3,33.0,31.5,15.0,0
20.0,14.07,166.4,48.5,80.0,63.0,88.5,40.5,23.5,19.0,34.0,29.3,15.0,0
20.0,21.55,163.8,59.4,85.0,68.0,95.8,53.0,27.5,23.0,38.0,31.0,16.0,0
21.0,21.36,156.2,50.3,78.0,65.0,89.5,49.5,25.5,20.3,32.5,30.0,15.0,0
20.0,27.84,163.8,55.3,81.0,66.0,100.3,55.5,24.5,21.0,36.0,31.0,15.3,1
22.0,27.29,162.6,58.1,87.5,69.5,99.3,50.0,26.5,20.0,32.0,30.7,15.3,1
22.0,17.64,169.4,54.4,81.5,63.0,93.0,50.0,25.0,21.0,36.5,31.0,15.5,0
24.0,16.62,160.0,53.5,80.0,62.3,94.0,46.0,24.0,19.0,32.5,29.5,15.0,0
20.0,28.62,168.9,73.0,95.4,80.0,104.0,56.5,33.0,24.3,36.0,34.0,17.5,1
20.0,27.46,172.7,64.9,84.5,72.0,98.5,53.0,31.5,20.3,37.5,32.0,16.5,1
19.0,12.13,165.1,48.5,81.0,61.0,87.7,45.5,23.0,20.0,33.0,28.5,14.7,0
24.0,23.93,172.7,56.2,82.0,65.0,95.0,49.0,26.0,20.7,34.7,31.0,15.0,0
22.0,28.99,174.0,76.7,84.5,72.5,98.0,53.0,27.5,22.3,36.5,31.0,16.3,1
20.0,14.44,160.0,49.0,82.0,64.0,89.5,48.3,26.0,20.5,33.5,30.5,15.0,0
21.0,22.01,170.2,57.6,84.5,65.0,92.5,49.0,23.0,21.5,36.7,31.5,16.3,0
20.0,19.36,162.6,57.6,82.2,66.3,97.5,51.0,26.5,21.7,37.0,30.3,15.3,0
20.0,29.47,160.8,57.6,85.0,68.0,94.5,51.5,26.0,20.5,39.0,32.3,16.0,1
22.0,23.44,162.6,57.2,85.0,70.0,94.5,50.5,28.0,20.0,37.0,33.0,16.0,0
20.0,25.94,167.6,67.1,88.0,75.5,102.0,58.0,31.7,21.0,40.0,32.0,16.0,1
19.0,13.64,161.3,55.8,85.0,67.5,94.7,52.0,26.0,20.3,34.5,31.0,15.5,0
18.0,26.65,163.8,61.2,89.0,76.0,98.0,50.0,27.5,20.0,37.0,32.5,15.5,1
23.0,15.83,162.6,59.9,83.0,70.0,97.0,54.5,26.0,21.0,36.0,31.5,14.5,0
23.0,30.4,156.2,59.9,89.0,71.0,98.5,56.0,28.0,21.0,36.2,31.3,16.3,1
20.0,11.98,157.5,51.7,81.5,61.5,90.0,49.5,27.5,19.5,32.0,31.5,15.0,0
22.0,11.24,165.1,50.8,85.0,64.0,88.0,45.0,24.0,19.5,32.0,30.5,15.0,0
24.0,17.49,160.0,47.6,79.3,63.0,86.6,46.0,24.0,19.0,33.5,26.0,14.0,0
17.742451310556692,20.379099899267732,168.19053887067423,48.75407090741609,85.39085906685553,69.80634601246216,96.80687890221195,49.79454939335178,24.09800098243999,19.978776674198485,34.89637955151331,32.7660636350555,14.992350430563231,0
22.132603503441274,29.82284740348311,166.59843142280127,53.358686503021275,87.34026928446484,71.31025147267636,97.05598842578914,55.0468314457545,23.28853443930184,23.180810956515582,34.99161535933282,31.09654693649492,16.020492272229404,1
20.094364298917377,29.27017738887585,158.54305292144485,63.313428920793875,87.0295110546519,65.03207070089454,94.95504538428617,51.39704904322247,28.23142916993624,22.01299682713184,34.9928000451039,29.17567972594959,14.915854784371476,1
18.938667600267703,25.91052226841255,168.49112852417284,66.97108952592919,82.36983988536834,71.44907416321026,89.94566386531018,50.20105857263667,26.717196932136265,19.38816423645815,35.70636104361288,33.61195206850516,14.774218890409959,1
21.335513907808757,31.148950653345356,165.83612464962226,63.65178381625515,83.27397730746033,65.32085049472539,93.1249274068023,51.68763540931558,28.90718584967616,22.08812559523156,33.61416343973989,30.914176676065384,16.512649058278793,1
19.275572482308295,30.354211059868884,155.91373506511786,44.63251692732151,88.2022110306509,54.137586834579736,104.84277254053123,56.952179651166674,28.287097492006033,23.676062247054833,32.6636402472117,29.24202967210828,17.111702924122575,1
20.406119839755167,17.74215432673665,163.45355720222952,64.32265510296949,84.96942360540508,74.90919150832296,95.5518331144325,51.85733584912872,28.42800511677891,20.477553018751653,37.33988590150505,32.46493267112261,14.522199513720272,0
20.671998493866486,14.839761141160869,169.66494023304028,57.58945653381862,83.30415341369616,70.45024226230147,90.36002860702432,54.20370810341693,24.319301668632505,21.006065824169745,34.857639317694876,30.985152308640714,14.510000679344671,0
23.810830211547852,30.539093634382287,170.31228391966917,58.097846694706554,84.41752422811231,63.378979260035926,103.5696539147471,54.67999929125729,28.36704770211487,23.53556364069663,32.00538732713534,29.22059519950284,15.798016703140195,1
18.726905491575806,18.829955524751377,165.05996475718385,39.25417266156252,89.19529169012759,69.35528674977071,94.6973179331975,52.1556062407486,26.441031570639836,21.676401261484997,35.67687976773082,29.726061223837593,14.789369112920253,0
20.436541147412665,19.18232584975767,167.153536292757,66.03886587689406,83.16982032895244,69.35581310871511,92.4625351628601,47.99540910391869,26.966771980345584,21.5511274057171,37.2016911657813,32.57003929526795,15.525445063138806,0
19.557800846453326,23.68825229361588,167.57057849853095,51.66137971067998,85.80684528412564,68.3783283261464,96.71113371239943,54.60305710158022,27.3557260492391,22.614423061959346,35.614417487343566,29.988658490143255,16.452414452855464,0
19.46076113842246,19.504432138652835,171.5983847577452,68.98841920741475,83.14070265158489,73.91726217611587,86.9603822451241,51.39662107288726,26.032077098446532,20.55436100476932,36.3717936329,34.09759254543282,14.15674870772015,0
18.044220107923227,18.331234479400322,162.01093618048566,64.42487480713888,86.62475799804052,71.93861539070144,90.15007791173969,49.29736308587122,27.362568549733076,20.625746327426814,37.69990271505295,31.89904130439669,15.770130636648453,0
22.459658492928046,24.129692857709905,165.8543050307837,70.69079542392,84.87325560189282,68.9987884325036,99.31075647805156,53.952014395922625,29.20797290222427,21.305510377913006,36.860983099101524,31.310532795401095,16.38381801801198,1
19.717094100002342,25.317509828779087,166.87896728559807,57.09814320098695,86.26454829012302,62.97820415180071,97.43419298545662,50.32380521045989,25.77356225763534,24.16548028461286,34.56868239350395,32.14810867915807,16.345200202137157,1
19.251776673291094,12.118874967804327,164.2961333664041,52.54738851320234,87.39536918271725,70.90039603326542,91.86846176738777,51.251632825997284,26.933103517056136,21.068702753633765,37.97749656177741,30.32512422225352,15.481230682149455,0
19.690661778361513,17.448464954233437,164.22784668988928,49.29150284769749,86.30838849857315,68.83391161990961,98.6364802144227,55.4676752585879,24.5614631313806,22.764676651518755,33.61715310444279,28.062974077425984,16.351737169801027,0
21.26646761058912,17.371595212950957,169.20576191905295,71.70033233605028,82.77601131656675,70.65264657250663,99.79072026302596,51.908906407915055,26.384433123374688,20.39978208948457,36.2955324889367,32.345662586428034,15.82205759262138,0
20.64595012442137,24.22836031027429,170.33726357477275,67.61033390079652,80.4656597761053,69.01752107786008,88.62800387742571,51.51231405337636,28.071735529320424,19.837026660813038,34.16201674867123,31.095479239573447,15.083655363035021,1
20.755014432451652,16.161731128800092,159.17492897881587,66.87344340734569,84.23167046847865,65.05378298711392,89.03076861616603,47.09223581268437,30.568870550294292,21.380821083179494,37.882072385129085,31.73733170271739,15.321886465248928,0
20.83504952003069,29.24005563386479,165.2616000718837,60.3033446496903,87.49494477649347,66.6595937104215,100.7241431393173,51.84247596644443,27.47805609255987,22.371322881655836,34.37684332986745,30.695023154262447,15.803167866153945,1
22.434912858107246,16.607788364159106,174.88300937396426,63.303225064190165,84.18165736426236,60.732396819692,93.97603344015481,50.248982740384115,25.710720530049315,19.778210692006727,37.524792435616675,32.48627657661773,14.56538028069367,0
